chord,count
"""G""",124730
"""D""",122132
"""C""",72635
"""A""",61941
"""F""",39719
"""Em""",38904
"""Am""",37397
"""D7""",35312
"""A7""",32235
"""G7""",22666
"""Dm""",20936
"""Bm""",17515
"""Bb""",16764
"""C7""",16466
"""E7""",15894
"""Gm""",13406
"""E""",12766
"""Eb""",6640
"""F7""",5623
"""B7""",5194
"""Cm""",4974
"""F#m""",4281
"""B""",4021
"""Ab""",3388
"""Bb7""",2076
"""F#""",2070
"""Db""",1904
"""Fm""",1487
"""F#7""",1317
"""Eb7""",1257
"""C#7""",849
"""G/B""",782
"""D/F#""",726
"""Ab7""",706
"""Am7""",693
"""D/A""",599
"""G/D""",548
"""C#""",532
"""Em7""",525
"""A/C#""",483
"""Bm7""",442
"""C#m""",441
"""Bbm""",424
"""C/G""",387
"""A/E""",386
"""F/C""",385
"""Gb""",373
"""Dm/F""",351
"""Ab/Eb""",314
"""Gm/Bb""",298
"""Bb/F""",295
"""Eb/Bb""",263
"""C/E""",255
"""Am/C""",244
"""Dm7""",238
"""F#/C#""",232
"""G#m""",209
"""Gm7""",205
"""E/B""",194
"""G#7""",168
"""F/A""",165
"""D#m""",162
"""Db/Ab""",146
"""Ebm""",140
"""E/G#""",124
"""G6""",124
"""Em/G""",121
"""A7/C#""",119
"""D#dim""",118
"""Edim""",115
"""Cmaj7""",112
"""Ddim""",111
"""G#dim""",104
"""B/F#""",103
"""D7/F#""",99
"""Bdim""",97
"""Fmaj7""",96
"""Adim""",96
"""C6""",94
"""Em/B""",94
"""C#dim""",94
"""E/A""",92
"""Cm/Eb""",89
"""E7/G#""",88
"""Am/E""",86
"""C#/A""",84
"""G#""",84
"""F#dim""",83
"""A#""",81
"""F#/D""",78
"""F#m7""",76
"""Gdim""",76
"""Cdim""",69
"""Gmaj7""",67
"""A5""",66
"""A6""",66
"""D6""",65
"""D/G""",65
"""Cm7""",64
"""A7/E""",60
"""F6""",60
"""B2""",58
"""A/D""",57
"""B7/D#""",57
"""Asus4""",55
"""G5""",54
"""D#""",54
"""D/B""",53
"""D/C#""",51
"""G/F#""",51
"""Gm6""",50
"""E7/B""",49
"""Bb/D""",49
"""Db7""",49
"""Dm6""",47
"""A#dim""",47
"""C/D""",45
"""A#7""",44
"""D7/A""",44
"""Em/D""",44
"""G7/B""",44
"""Dm/A""",44
"""C9""",43
"""Bb6""",43
"""D/F""",42
"""Bbmaj7""",41
"""Am/G""",41
"""Ebmaj7""",39
"""Bbdim""",38
"""G/A""",36
"""B/G""",36
"""Dmaj7""",35
"""Cm6""",35
"""D/C""",34
"""G/E""",34
"""Dsus4""",34
"""Fdim""",34
"""C/B""",33
"""C7/G""",33
"""A2""",32
"""D#7""",32
"""G/C""",32
"""Bm/D""",31
"""B#dim""",31
"""C7/E""",30
"""Bm/F#""",29
"""D5""",28
"""D9""",28
"""Fm7""",28
"""Gsus4""",27
"""Ebdim""",26
"""E#m""",25
"""Am6""",25
"""Bm/A""",25
"""Gm/D""",24
"""Am/F#""",24
"""Abm""",24
"""C#m7""",24
"""F#m7b5""",24
"""Am7/G""",24
"""Bdim7""",23
"""C#/G#""",23
"""A/G""",23
"""G7/D""",23
"""G9""",22
"""A7/G""",22
"""D2""",22
"""D/E""",21
"""A/F""",21
"""E9""",21
"""E/C""",20
"""E#""",20
"""D+""",19
"""Em/C""",19
"""C/F""",18
"""G+""",18
"""Eb/G""",18
"""F#7/A#""",17
"""Fm/Ab""",17
"""Cdim7""",17
"""A/F#""",17
"""B#""",17
"""Bbm7""",17
"""C/A""",16
"""Gb/Db""",16
"""Em/C#""",16
"""A/B""",16
"""B/D#""",15
"""C2""",14
"""B7/F#""",14
"""Dbm""",13
"""C7/Bb""",13
"""Am/D""",13
"""Am9""",12
"""A+""",12
"""Ebdim7""",12
"""E#7""",12
"""Am7b5""",12
"""Dm/C""",12
"""Ab/C""",12
"""Em7b5""",12
"""A/C""",11
"""F#/A#""",11
"""Cm/G""",11
"""A/G#""",11
"""E7/D""",11
"""G#m7""",11
"""G2""",11
"""F/G""",10
"""F9""",10
"""B#m""",10
"""F+""",10
"""F/Bb""",10
"""Asus2""",10
"""A9""",9
"""F#m/C#""",9
"""F#dim7""",9
"""D7/C""",9
"""Am/G#""",9
"""Ebm7""",9
"""G/F""",9
"""A+/C#""",9
"""G7/F""",9
"""Esus4""",9
"""E5""",9
"""C#+""",9
"""Abdim""",9
"""Fb""",8
"""Bbm/Db""",8
"""Gsus2""",8
"""Asus4/E""",8
"""C2/G""",8
"""E/C#""",8
"""Bm/G#""",8
"""F7/A""",8
"""Eb/D""",8
"""F#m/E""",8
"""Gdim7""",8
"""Db/F""",8
"""Cb""",7
"""F7/C""",7
"""Bm7/A""",7
"""C#m/G#""",7
"""Em6""",7
"""A11""",7
"""Am/F""",7
"""E#dim""",7
"""Bb7/D""",7
"""F/E""",7
"""Em9""",7
"""Gb7""",7
"""E/G""",7
"""Cm/A""",7
"""D7/F""",7
"""A#m""",7
"""Bm/A#""",6
"""Cmaj9""",6
"""F#m/A""",6
"""F6/A""",6
"""Gm/F""",6
"""G#/E""",6
"""Cb7""",6
"""Bbm6""",6
"""Bm11""",6
"""Bbdim7""",6
"""F#sus4""",6
"""C#dim7""",6
"""F##7""",6
"""G5/B""",6
"""F/D""",6
"""Em/D#""",6
"""Em7b5/G""",6
"""Eb6""",6
"""C+""",5
"""A7/C""",5
"""Csus4""",5
"""Gm/E""",5
"""E2""",5
"""Dm/B""",5
"""Edim7""",5
"""Fsus4""",5
"""Gmaj9""",5
"""Dm/Bb""",5
"""Bm6""",5
"""Gm7/C""",5
"""D7/C#""",4
"""Bb9""",4
"""Bbdim/Bb""",4
"""Gm/Eb""",4
"""B#7""",4
"""Dm7/C""",4
"""Ebm/Ab""",4
"""Cmaj7/E""",4
"""A4""",4
"""Eb9""",4
"""Eb/F""",4
"""G#dim7""",4
"""Gm/B""",4
"""E6""",4
"""A7/G#""",4
"""A#/E#""",4
"""Gdim/A#""",4
"""C#7b5""",4
"""Emb5""",4
"""Am/B""",4
"""Fm/C""",4
"""Fm/Bb""",4
"""D+/F#""",4
"""Cdim/Eb""",4
"""Amaj7""",4
"""Ab/G""",4
"""Ddim7""",4
"""Gm/C""",4
"""D/Bb""",4
"""F#m/D""",4
"""Dm7/A""",4
"""Ddim/G#""",4
"""D5/A""",4
"""Bbm/F""",4
"""C#m7b5""",4
"""D7b5""",3
"""E7/A""",3
"""E/B#""",3
"""C#m/E""",3
"""G7/Bb""",3
"""Abmaj7""",3
"""F#/A""",3
"""Dsus2""",3
"""B+""",3
"""Em7/B""",3
"""Bm/G""",3
"""Bsus2""",3
"""D/D""",3
"""B6""",3
"""Amb5""",3
"""C/C""",3
"""F#7/Bb""",3
"""C+9""",3
"""G/G""",3
"""Em/A""",3
"""Gmaj13""",3
"""F/F#""",3
"""Bb/A""",3
"""Gm9""",3
"""Gmaj7/B""",3
"""D/G#""",3
"""F#+""",3
"""B/D""",3
"""Dsus4/F#""",3
"""B9""",3
"""D4""",3
"""Bsus4""",3
"""D7b9""",3
"""Em/F#""",3
"""A7#5""",3
"""C#maj7""",3
"""F7/Eb""",3
"""Adim7""",3
"""G4""",3
"""Ab/E""",3
"""A/A""",3
"""Ab9""",3
"""E/D""",3
"""Bm5""",3
"""Cm/Bb""",3
"""Gbm""",3
"""Bdim/F""",3
"""F2""",3
"""Gdim/C#""",3
"""Fm6""",3
"""Eb6/Bb""",2
"""F#9""",2
"""B11""",2
"""Fdim/G#""",2
"""Dm7/F""",2
"""Em7/D""",2
"""Bb7/G#""",2
"""Bbm/Eb""",2
"""C5""",2
"""Bb7/F""",2
"""C7b9""",2
"""F6/C""",2
"""Fb/Cb""",2
"""F#7#5""",2
"""Fmaj7#11""",2
"""Ddim/B""",2
"""Cdim7/Eb""",2
"""G#+5""",2
"""E7/G""",2
"""Am/A""",2
"""Bmaj7""",2
"""D#m7b5""",2
"""F#m/B""",2
"""E+""",2
"""Gm/A""",2
"""A/D#""",2
"""Gm/F#""",2
"""C#7/G#""",2
"""Bb+""",2
"""D7#5""",2
"""Em7/G""",2
"""Am7/C""",2
"""D7/D""",2
"""E/F#""",2
"""Csus2""",2
"""G#m7b5""",2
"""G#m/C#""",2
"""Fbm""",2
"""F/F""",2
"""Ebsus4""",2
"""Db+""",2
"""D#m7""",2
"""Dm/C#""",2
"""C#m75""",2
"""D#dim7""",2
"""F/Ab""",2
"""Fdim/D""",2
"""Am7/A""",2
"""Eb7/Bb""",2
"""Cbm""",2
"""Bm7b5""",2
"""E7/C#""",2
"""B5""",2
"""C/Bb""",2
"""Cm7b5""",2
"""A#dim/E""",2
"""F#/B""",2
"""Csus4/G""",2
"""G/B#""",2
"""Gsus4/G""",2
"""Bm/C""",1
"""B#m7""",1
"""F#m7/Bb""",1
"""Bm7/D""",1
"""D/Cb""",1
"""Gm/G#""",1
"""Bdim7/G""",1
"""A7sus4""",1
"""G+7""",1
"""Bm/E""",1
"""Fb7""",1
"""Csus4/D""",1
"""G5/F#""",1
"""Db/Bb""",1
"""Bdim/D""",1
"""B7b9""",1
"""F#7b5""",1
"""B#maj7""",1
"""Bm/B""",1
"""E4""",1
"""Dmb5/F#""",1
"""Gdim/Bb""",1
"""Bbsus4""",1
"""A+7""",1
"""Fbdim""",1
"""E7b5""",1
"""Bm/F""",1
"""D5/F#""",1
"""A7/D""",1
"""Adim/D#""",1
"""F#5""",1
"""Amb5/F#""",1
"""B/F""",1
"""G7b9""",1
"""C#7/F""",1
"""D7/G""",1
"""B/B""",1
"""Ebmaj77""",1
"""Dbmaj77""",1
"""Ebm6""",1
"""E7/E""",1
"""Gbdim/Db""",1
"""Bdim/Ab""",1
"""Cm7/G""",1
"""A7/F#""",1
"""Bm7/Db""",1
"""C+7""",1
"""C##7""",1
"""Fdim/B""",1
"""Eb/Ab""",1
"""D7/E""",1
"""Ab6""",1
"""D/D#""",1
"""Ab7/Eb""",1
"""Eb/C""",1
"""Eb/Db""",1
"""Gm7b5""",1
"""Em/E""",1
"""Fdim7""",1
"""Dm/G""",1
"""E+7""",1
"""Edim/Bb""",1
"""Cm7/Eb""",1
"""Fm/F""",1
"""Fm/Db""",1
"""Bm#5""",1
"""C/Eb""",1
"""Amb7""",1
"""Em7/C#""",1
"""Am7/E""",1
"""Asus4/D""",1
"""Eb+""",1
"""Dbdim7""",1
"""Gbm7/C""",1
"""D11""",1
"""A#+""",1
"""F#m/F#""",1
"""Cdim/A""",1
"""A9/F""",1
"""E11""",1
"""E7/F#""",1
"""Dmb5/Eb""",1
"""Em/F""",1
"""Am7/F""",1
"""G7/C""",1
"""A9/B""",1
"""Dsus4/A""",1
"""Fmaj7/A""",1
"""A#dim7""",1
"""F7/A#""",1
"""Gb/Eb""",1
"""F76""",1
"""B/E""",1
"""C6/G""",1
"""D6/G""",1
"""Gbm7""",1
"""A7/B""",1
"""B+7""",1
"""C7/F""",1
"""F13""",1
"""Bbmaj9""",1
"""G13""",1
"""D+7""",1
"""A4/C#""",1
"""F#m/D#""",1
"""C#m6""",1
"""Gmaj7/E""",1
"""G/Bb""",1
"""D#m/A#""",1
"""F#7/B""",1
"""Ab/B""",1
"""Gb6""",1
"""Abm6""",1
"""Dm7b5""",1
"""Cmb5/Eb""",1
"""Gm7/F""",1
"""G9/F""",1
"""G9/B""",1
"""E#m7""",1
"""Cm/Ab""",1
"""A6/C#""",1
"""Fm/A""",1
"""F#m7/C#""",1
"""Cdim/F#""",1
"""Bb/C""",1
"""C#sus4""",1
"""C4""",1
"""Bm/Bb""",1
"""F#7/C#""",1
